"track_name","track_duration","track_url"
"No Boys Allowed - OG House Mix","352500","https://open.spotify.com/track/5ECEMutDIhmSKM6MkJuVc3"
"B Good","241113","https://open.spotify.com/track/7oXnUhFLB4H736YHZEDQi5"
"Sideways","253770","https://open.spotify.com/track/02YMpD1xbZZzpZbuZNvmD7"
"Who's That Girl - JL & Afterman Mix","320624","https://open.spotify.com/track/0iPwcwbrS0ZMIvqvyQw1Qs"
"Bounce to the Beat - Chris Stussy Remix - Edit","296066","https://open.spotify.com/track/2TaePDvV47Eaju3cSi5TFz"
"Summertime Blues (feat. Nathan Nicholson)","251201","https://open.spotify.com/track/6q36Cqt2d3O5jqrQR9uXCp"
"Amana","338210","https://open.spotify.com/track/728jwEfBJVrR9aYpuhwdvb"
"Don't You Cry","246758","https://open.spotify.com/track/0sEkSDwCxjik95zgWLuzd5"
"Complicated (with Fridayy)","270545","https://open.spotify.com/track/59AY7LaU5NR62aJNqtYSyJ"
"Pretty Green Eyes (Sunset Ibiza Mix)","258682","https://open.spotify.com/track/6iGMRy5RDMiAdTpuMB5gAm"
"Brighter Days - Marco Lys Remix","382857","https://open.spotify.com/track/7IJP1vVnqU5mV2hYUbZrlX"
"Count On My Love","356008","https://open.spotify.com/track/3nxyManavy2vBdYkilvhmF"
"Born In Blue","290737","https://open.spotify.com/track/5iiQYaqVsZK8ROt0dfOyS9"
"Locomotiva Ibiza 2099 feat. VTSS","399360","https://open.spotify.com/track/3VuPtliMz0oXO9bDnA1CHq"
